keys,en,it
UI_INV_GROUND_EMPTY,No items nearby.,Nessun oggetto nelle vicinanze.
UI_INV_CTX_USE,Use,Usa
UI_INV_CTX_INSPECT,Inspect,Ispeziona
UI_INV_CTX_EXAMINE,Examine,Esamina
UI_INV_CTX_EQUIP,Equip,Equipaggia
UI_INV_CTX_UNPACK,Open pack,Apri pacchetto
UI_INV_CTX_DISCARD,Drop on the ground,Getta a terra
UI_INV_CTX_UNLOAD_MAGAZINE,Unload magazine,Scarica caricatore
UI_INV_CTX_UNLOAD_AMMO,Empty ammo,Svuota munizioni
UI_INV_CTX_FOLD_STOCK,Fold stock,Piega calcio
UI_INV_CTX_WEAPON_LOCKED,Available with the weapon system (Phase 3).,Disponibile con il sistema armi (Fase 3).
UI_INSPECT_TITLE,Inspect — {0},Ispeziona — {0}
UI_INSPECT_CATEGORY,Category: {0},Categoria: {0}
UI_INSPECT_SIZE,Size: {0}x{1} cells,Ingombro: {0}x{1} celle
UI_INSPECT_WEIGHT,Weight: {0} kg,Peso: {0} kg
UI_INSPECT_QUANTITY,Quantity: {0},Quantità: {0}
UI_INSPECT_CAPACITY,Capacity: {0}x{1},Capacità: {0}x{1}
UI_INSPECT_MODS_TITLE,Mods and durability,Moduli e durabilità
UI_INSPECT_MODS_LOCKED,Available with the weapon system (Phase 3).,Disponibili con il sistema armi (Fase 3).
UI_HUD_PROMPT_PICKUP,{0}   [{1}],{0}   [{1}]
UI_HUD_PROMPT_OPEN,{0}   [{1}] Open,{0}   [{1}] Apri
UI_HUD_ITEM_STACK,{0} x{1},{0} x{1}
UI_HUD_ITEM_CONTAINS,{0} ({1}),{0} ({1})
UI_HUD_GROUND_OPEN,Open,Apri
UI_HUD_GROUND_PICKUP,Pick up,Raccogli
UI_HUD_GROUND_EXAMINE,Examine,Esamina
UI_HUD_RELOADING,RELOADING…,RICARICA…
UI_HUD_AMMO,{0} / {1},{0} / {1}
UI_MOUSE_LEFT,LMB,TSX
UI_MOUSE_RIGHT,RMB,TDX
UI_MOUSE_MIDDLE,MMB,TCE
SLOT_NONE,—,—
SLOT_HEAD,Head,Testa
SLOT_TORSO,Torso,Torso
SLOT_LEGS,Legs,Gambe
SLOT_FEET,Feet,Piedi
SLOT_VEST,Rig,Rig
SLOT_BACKPACK,Backpack,Zaino
SLOT_WEAPONPRIMARY,Weapon 1,Arma 1
SLOT_WEAPONSECONDARY,Weapon 2,Arma 2
SLOT_SIDEARM,Sidearm,Pistola
SLOT_SECURECONTAINER,Secure,Sicuro
CATEGORY_GENERIC,Generic,Generico
CATEGORY_EQUIPMENT,Equipment,Equipaggiamento
CATEGORY_CONTAINER,Container,Contenitore
CATEGORY_WEAPON,Weapon,Arma
CATEGORY_CONSUMABLE,Consumable,Consumabile
NET_ERR_ENET_SERVER,"ENet: cannot create the server (port {0}): {1}","ENet: impossibile creare il server (porta {0}): {1}"
NET_ERR_ENET_CLIENT,"ENet: cannot connect to {0}:{1}: {2}","ENet: impossibile connettersi a {0}:{1}: {2}"
NET_ERR_STEAM_CREATE_LOBBY,"Steam: createLobby failed (check the addon version): {0}","Steam: createLobby fallita (verifica la versione dell'addon): {0}"
NET_ERR_STEAM_LOBBY_ID,Steam: invalid lobby id: '{0}',Steam: id lobby non valido: '{0}'
NET_ERR_STEAM_JOIN_LOBBY,Steam: joinLobby failed: {0},Steam: joinLobby fallita: {0}
NET_ERR_STEAM_MISSING,GodotSteam is not installed: the 'Steam' singleton is missing. Install the GDExtension (addons/godotsteam) or use the local ENet transport.,GodotSteam non installato: manca il singleton 'Steam'. Installa la GDExtension (addons/godotsteam) o usa il trasporto locale ENet.
NET_ERR_STEAM_INIT,"Steam init failed: {0} (status={1}). Is Steam running and logged in? steam_appid.txt = 480?","Steam init fallita: {0} (status={1}). Steam è avviato e loggato? steam_appid.txt = 480?"
NET_ERR_STEAM_INIT_EXCEPTION,"Steam: initialization failed (is Steam running? appid 480?): {0}","Steam: inizializzazione fallita (Steam in esecuzione? appid 480?): {0}"
NET_ERR_STEAM_LOBBY_RESULT,Steam: lobby creation failed (EResult={0}).,Steam: creazione lobby fallita (EResult={0}).
NET_ERR_STEAM_CREATE_HOST,Steam: create_host failed: {0},Steam: create_host fallita: {0}
NET_ERR_STEAM_LOBBY_OWNER,Steam: getLobbyOwner failed: {0},Steam: getLobbyOwner fallita: {0}
NET_ERR_STEAM_CREATE_CLIENT,Steam: create_client failed: {0},Steam: create_client fallita: {0}
NET_ERR_STEAM_PEER_CLASS,Steam: class '{0}' not found. Is the GDExtension installed?,Steam: classe '{0}' non trovata. GDExtension installata?
NET_ERR_STEAM_PEER_INSTANCE,Steam: cannot create a {0}.,Steam: impossibile creare un {0}.
NET_ERR_CONNECTION_FAILED,Connection to the host failed.,Connessione all'host fallita.
NET_ERR_HOST_CLOSED,The host has closed the session.,L'host ha chiuso la sessione.
